Condition,StudentId,Session,CosineSimilarity_a1_a2,CosineSimilarity_a1_a3,CosineSimilarity_a2_a3,JaccardSimilarity_a1_a2,JaccardSimilarity_a1_a3,JaccardSimilarity_a2_a3
TP,1343,2,0.13360402684189276,0.16212138573747034,0.1851095791126838,0.10483870967741936,0.10434782608695652,0.1386861313868613,
NoTP,918,2,0.4078518984956912,,,0.4772727272727273,,,
TP,993,1,0.4968419861594637,,,0.6206896551724138,,,
NoTP,918,1,,,,,,,
TP,993,2,,,,,,,
{'TP_1343_2': 'TP,1343,2,0.13360402684189276,0.16212138573747034,0.1851095791126838,0.10483870967741936,0.10434782608695652,0.1386861313868613,', 'NoTP_918_2': 'NoTP,918,2,0.4078518984956912,,,0.4772727272727273,,,', 'TP_993_1': 'TP,993,1,0.4968419861594637,,,0.6206896551724138,,,', 'NoTP_918_1': 'NoTP,918,1,,,,,,,', 'TP_993_2': 'TP,993,2,,,,,,,'}
